SURGE_ID,LAT,LON,Year,Storm Dates
0,24.6547,-81.2817,1950,Oct 13-19
1,27.5094,-82.7211,1950,Sep 1-9
2,29.7208,-84.9811,1950,Aug 20- Sep 1
3,25.85,-80.1197,1950,Oct 13 -19
4,30.0225,-84.3858,1953,Sep 23-28
5,34.9772,-76.7713,1953,Aug 11 - 16
6,33.874,-78.48,1954,
7,41.7855,-71.3829,1954,30-31 Aug
8,30.3931,-88.9303,1955,Jul 31- Aug 03
9,27.7997,-97.3911,1955,Sep 4-6
10,29.8551,-89.6786,1955,Aug 23-30
11,35.0722,-77.011,1955,Sep 10 - 24
12,33.918,-78.1491,1955,Aug 7 -21
13,34.005,-77.897,1955,
14,29.3683,-89.5297,1956,Sep 21-30
15,30.2386,-85.9244,1956,Sep 21-30
16,30.3922,-88.8836,1956,Jun 12-15
17,36.9547,-76.3269,1956,Sep 21 - 30 
18,29.7697,-93.4525,1957,Jun 25-29
19,30.3931,-88.9303,1957,Sep 16-19
20,29.7451,-92.1075,1957,Aug 8-11
21,30.1033,-84.0442,1957,Sep 7-9
22,,,1957,Jun 8-15
23,,,1958,Aug 30- Sep 6
24,,,1958,Jun 14-16
25,,,1958,Aug 30- Sep 6
26,35.2586,-75.5965,1958,Sep 27-28
27,29.1397,-83.0419,1959,Oct 6-9
28,,,1959,Oct 17-21
29,29.6731,-94.9878,1959,Jul 23-28
30,29.3667,-91.3833,1959,May 28- Jun 2
31,,,1959,Jun 15-18
32,32.5133,-80.2829,1959,Sep 20 - Oct 2
33,33.0102,-79.4841,1959,Jul 5 - 12
34,24.9133,-80.6353,1960,Aug 29- Sep 14
35,29.3825,-89.5189,1960,Sep 14-17
36,27.7842,-97.3929,1960,Jun 22-29
37,40.5869,-73.8254,1960,9-13 Sept
38,28.6122,-96.6203,1961,Sep 3-16
39,35.9111,-75.5929,1962,Aug 26 - Sep 2
40,29.7622,-93.3442,1963,Sep 16-20
41,34.2271,-77.951,1963,Oct 16 -30
42,29.0186,-82.7264,1964,Aug 28- Sep 16
43,29.2357,-90.6712,1964,Sep 28- Oct 5
44,24.5453,-81.8108,1964,Oct 8-17
45,28.8044,-95.5483,1964,Aug 5-8
46,27.941,-82.4573,1964,Aug 20- Sep 5
47,24.555,-81.8067,1964,10/8-10/16
48,31.1448,-81.4988,1964,8/28 - 9/16
49,26.1007,-80.1189,1964,8/20 -9/5
50,29.7208,-84.9811,1965,Jun 11-18
51,29.545,-89.7565,1965,Aug 27- Sep 13
52,25.2646,-80.3018,1965,Aug 27- Sep 13
53,30.0157,-90.0292,1965,Sep 24-30
54,25.0096,-80.5148,1965,8/27-9/10
55,,,1965,Aug 19-31
