Surge ID,Date Range,Date,Station ID,Precip,Above 90th?
169,20010119-20010121,20010119,USW00092811,-9998,0
169,20010119-20010121,20010120,USW00092811,-9998,0
169,20010119-20010121,20010121,USW00092811,-9998,0
169,20010119-20010121,20010119,USC00083909,   38,0
169,20010119-20010121,20010120,USC00083909,   53,0
169,20010119-20010121,20010121,USC00083909,    0,0
169,20010119-20010121,20010119,USW00012859,    0,0
169,20010119-20010121,20010120,USW00012859,   18,0
169,20010119-20010121,20010121,USW00012859,    0,0
169,20010119-20010121,20010119,USW00012839,    0,0
169,20010119-20010121,20010120,USW00012839,  124,1
169,20010119-20010121,20010121,USW00012839,    0,0
169,20010119-20010121,20010119,USC00083163,    0,0
169,20010119-20010121,20010120,USC00083163,   86,0
169,20010119-20010121,20010121,USC00083163,    0,0
169,20010119-20010121,20010119,USC00087254,    0,0
169,20010119-20010121,20010120,USC00087254,-9999,0
169,20010119-20010121,20010121,USC00087254,-9999,0
100,19830822-19830830,19830822,USC00417179,-9998,0
100,19830822-19830830,19830823,USC00417179,-9998,0
100,19830822-19830830,19830824,USC00417179,-9998,0
100,19830822-19830830,19830825,USC00417179,-9998,0
100,19830822-19830830,19830826,USC00417179,-9998,0
100,19830822-19830830,19830827,USC00417179,-9998,0
100,19830822-19830830,19830828,USC00417179,-9998,0
100,19830822-19830830,19830829,USC00417179,-9998,0
100,19830822-19830830,19830830,USC00417179,-9998,0
100,19830822-19830830,19830822,USW00012919,    0,0
100,19830822-19830830,19830823,USW00012919,    0,0
100,19830822-19830830,19830824,USW00012919,    0,0
100,19830822-19830830,19830825,USW00012919,   38,1
100,19830822-19830830,19830826,USW00012919,    0,0
100,19830822-19830830,19830827,USW00012919,    0,0
100,19830822-19830830,19830828,USW00012919,  102,1
100,19830822-19830830,19830829,USW00012919,    3,0
100,19830822-19830830,19830830,USW00012919,    0,0
97,19800903-19800908,19800903,USW00012917,    0,0
97,19800903-19800908,19800904,USW00012917,    0,0
97,19800903-19800908,19800905,USW00012917, 2997,1
97,19800903-19800908,19800906,USW00012917, 1364,1
97,19800903-19800908,19800907,USW00012917,    0,0
97,19800903-19800908,19800908,USW00012917,  284,1
97,19800903-19800908,19800903,USC00416664,    0,0
97,19800903-19800908,19800904,USC00416664,    0,0
97,19800903-19800908,19800905,USC00416664,    0,0
97,19800903-19800908,19800906,USC00416664, 1986,1
97,19800903-19800908,19800907,USC00416664,  290,1
97,19800903-19800908,19800908,USC00416664,    0,0
97,19800903-19800908,19800903,USC00163979,    0,0
97,19800903-19800908,19800904,USC00163979,    0,0
97,19800903-19800908,19800905,USC00163979,   13,0
97,19800903-19800908,19800906,USC00163979, 1189,1
97,19800903-19800908,19800907,USC00163979,   46,0
97,19800903-19800908,19800908,USC00163979,    0,0
9,19550903-19550907,19550903,USW00012924,    0,0
9,19550903-19550907,19550904,USW00012924,    3,0
9,19550903-19550907,19550905,USW00012924,  104,1
9,19550903-19550907,19550906,USW00012924, 1941,1
9,19550903-19550907,19550907,USW00012924,  218,1
9,19550903-19550907,19550903,USW00012926,    0,0
9,19550903-19550907,19550904,USW00012926,    0,0
9,19550903-19550907,19550905,USW00012926,  554,1
9,19550903-19550907,19550906,USW00012926, 3106,1
9,19550903-19550907,19550907,USW00012926,  353,1
9,19550903-19550907,19550903,USC00417677,    0,0
9,19550903-19550907,19550904,USC00417677,    0,0
9,19550903-19550907,19550905,USC00417677,    5,0
9,19550903-19550907,19550906,USC00417677,  145,1
9,19550903-19550907,19550907,USC00417677, 1692,1
9,19550903-19550907,19550903,USC00418354,    0,0
9,19550903-19550907,19550904,USC00418354,    0,0
9,19550903-19550907,19550905,USC00418354,   43,1
9,19550903-19550907,19550906,USC00418354, 1194,1
9,19550903-19550907,19550907,USC00418354,  716,1
9,19550903-19550907,19550903,USC00417704,-9998,0
9,19550903-19550907,19550904,USC00417704,-9998,0
9,19550903-19550907,19550905,USC00417704,-9998,0
9,19550903-19550907,19550906,USC00417704,-9998,0
9,19550903-19550907,19550907,USC00417704,-9998,0
41,19631015-19631031,19631015,USW00013748,    0,0
41,19631015-19631031,19631016,USW00013748,    0,0
41,19631015-19631031,19631017,USW00013748,    0,0
41,19631015-19631031,19631018,USW00013748,    0,0
41,19631015-19631031,19631019,USW00013748,    0,0
41,19631015-19631031,19631020,USW00013748,    0,0
41,19631015-19631031,19631021,USW00013748,    0,0
41,19631015-19631031,19631022,USW00013748,   15,0
41,19631015-19631031,19631023,USW00013748,    0,0
41,19631015-19631031,19631024,USW00013748,    0,0
41,19631015-19631031,19631025,USW00013748,  457,1
41,19631015-19631031,19631026,USW00013748,  485,1
41,19631015-19631031,19631027,USW00013748,    0,0
41,19631015-19631031,19631028,USW00013748,   25,0
41,19631015-19631031,19631029,USW00013748,    0,0
41,19631015-19631031,19631030,USW00013748,    0,0
41,19631015-19631031,19631031,USW00013748,    0,0
41,19631015-19631031,19631015,USC00319467,    0,0
41,19631015-19631031,19631016,USC00319467,    0,0
41,19631015-19631031,19631017,USC00319467,    0,0
41,19631015-19631031,19631018,USC00319467,    0,0
41,19631015-19631031,19631019,USC00319467,    0,0
41,19631015-19631031,19631020,USC00319467,    0,0
41,19631015-19631031,19631021,USC00319467,   13,0
41,19631015-19631031,19631022,USC00319467,    0,0
41,19631015-19631031,19631023,USC00319467,    0,0
41,19631015-19631031,19631024,USC00319467,   25,0
41,19631015-19631031,19631025,USC00319467,    0,0
41,19631015-19631031,19631026,USC00319467,  734,1
41,19631015-19631031,19631027,USC00319467,   91,0
41,19631015-19631031,19631028,USC00319467,    0,0
41,19631015-19631031,19631029,USC00319467,   25,0
41,19631015-19631031,19631030,USC00319467,    8,0
41,19631015-19631031,19631031,USC00319467,    0,0
41,19631015-19631031,19631015,USC00318113,    0,0
41,19631015-19631031,19631016,USC00318113,    0,0
41,19631015-19631031,19631017,USC00318113,    0,0
41,19631015-19631031,19631018,USC00318113,    0,0
41,19631015-19631031,19631019,USC00318113,    0,0
41,19631015-19631031,19631020,USC00318113,    0,0
41,19631015-19631031,19631021,USC00318113,    0,0
41,19631015-19631031,19631022,USC00318113,    0,0
41,19631015-19631031,19631023,USC00318113,    0,0
41,19631015-19631031,19631024,USC00318113,   13,0
41,19631015-19631031,19631025,USC00318113,  152,1
41,19631015-19631031,19631026,USC00318113, 1448,1
41,19631015-19631031,19631027,USC00318113,   10,0
41,19631015-19631031,19631028,USC00318113,    0,0
41,19631015-19631031,19631029,USC00318113,   81,0
41,19631015-19631031,19631030,USC00318113,    0,0
41,19631015-19631031,19631031,USC00318113,    0,0
41,19631015-19631031,19631015,USC00319423,    0,0
41,19631015-19631031,19631016,USC00319423,    0,0
41,19631015-19631031,19631017,USC00319423,    0,0
41,19631015-19631031,19631018,USC00319423,    0,0
41,19631015-19631031,19631019,USC00319423,    0,0
41,19631015-19631031,19631020,USC00319423,    0,0
41,19631015-19631031,19631021,USC00319423,    0,0
41,19631015-19631031,19631022,USC00319423,    0,0
41,19631015-19631031,19631023,USC00319423,   13,0
41,19631015-19631031,19631024,USC00319423,    0,0
41,19631015-19631031,19631025,USC00319423,    5,0
41,19631015-19631031,19631026,USC00319423,  470,1
41,19631015-19631031,19631027,USC00319423,    0,0
41,19631015-19631031,19631028,USC00319423,    0,0
41,19631015-19631031,19631029,USC00319423,  109,0
