Surge ID,Date Range,Date,Avg Precip,Above 90th?
120,19890729-19890804,19890803,18.0,0
120,19890729-19890804,19890804,0.0,0
120,19890729-19890804,19890730,0.0,0
120,19890729-19890804,19890801,905.5,1
120,19890729-19890804,19890731,0.0,0
120,19890729-19890804,19890729,9.0,0
120,19890729-19890804,19890802,12.5,0
140,19961013-19961030,19961019,0.0,0
140,19961013-19961030,19961020,0.0,0
140,19961013-19961030,19961013,15.0,0
140,19961013-19961030,19961017,225.0,1
140,19961013-19961030,19961022,0.0,0
140,19961013-19961030,19961030,26.5,0
140,19961013-19961030,19961014,52.0,0
140,19961013-19961030,19961023,45.5,0
140,19961013-19961030,19961027,10.0,0
140,19961013-19961030,19961028,0.0,0
140,19961013-19961030,19961024,6.5,0
140,19961013-19961030,19961026,0.0,0
140,19961013-19961030,19961015,79.0,1
140,19961013-19961030,19961021,0.0,0
140,19961013-19961030,19961018,123.0,1
140,19961013-19961030,19961025,0.0,0
140,19961013-19961030,19961029,0.0,0
140,19961013-19961030,19961016,90.5,1
128,19920815-19920829,19920823,25.3333333333,0
128,19920815-19920829,19920826,1.25,0
128,19920815-19920829,19920825,14.0,0
128,19920815-19920829,19920819,0.0,0
128,19920815-19920829,19920829,256.5,1
128,19920815-19920829,19920827,0.0,0
128,19920815-19920829,19920820,0.0,0
128,19920815-19920829,19920815,3.75,0
128,19920815-19920829,19920818,34.5,0
128,19920815-19920829,19920824,516.0,1
128,19920815-19920829,19920821,17.0,0
128,19920815-19920829,19920828,35.5,0
128,19920815-19920829,19920822,54.0,0
128,19920815-19920829,19920816,0.0,0
128,19920815-19920829,19920817,0.0,0
13,19550119-19550121,19550121,0.0,0
13,19550119-19550121,19550119,149.333333333,1
13,19550119-19550121,19550120,16.3333333333,0
143,19960818-19960907,19960830,0.0,0
143,19960818-19960907,19960818,0.0,0
143,19960818-19960907,19960821,0.0,0
143,19960818-19960907,19960823,0.0,0
143,19960818-19960907,19960825,51.0,0
143,19960818-19960907,19960826,0.0,0
143,19960818-19960907,19960831,0.0,0
143,19960818-19960907,19960822,0.0,0
143,19960818-19960907,19960902,874.0,1
143,19960818-19960907,19960824,0.0,0
143,19960818-19960907,19960903,175.0,1
143,19960818-19960907,19960827,0.0,0
143,19960818-19960907,19960829,46.0,0
143,19960818-19960907,19960906,0.0,0
143,19960818-19960907,19960904,0.0,0
143,19960818-19960907,19960905,0.0,0
143,19960818-19960907,19960820,0.0,0
143,19960818-19960907,19960819,0.0,0
143,19960818-19960907,19960901,3.0,0
143,19960818-19960907,19960907,0.0,0
143,19960818-19960907,19960828,358.0,1
7,19540829-19540901,19540901,237.333333333,1
7,19540829-19540901,19540831,454.888888889,1
7,19540829-19540901,19540829,0.0,0
7,19540829-19540901,19540830,5.33333333333,0
139,19950821-19950829,19950826,178.0,1
139,19950821-19950829,19950824,82.5,0
139,19950821-19950829,19950829,4.0,0
139,19950821-19950829,19950823,33.0,0
139,19950821-19950829,19950827,81.5,0
139,19950821-19950829,19950822,457.0,1
139,19950821-19950829,19950828,51.0,0
139,19950821-19950829,19950821,0.0,0
139,19950821-19950829,19950825,246.5,1
5,19530810-19530817,19530815,0.0,0
5,19530810-19530817,19530810,77.0,0
5,19530810-19530817,19530812,11.0,0
5,19530810-19530817,19530811,50.0,0
5,19530810-19530817,19530817,127.0,1
5,19530810-19530817,19530813,1348.5,1
5,19530810-19530817,19530814,27.0,0
5,19530810-19530817,19530816,0.0,0
98,19800730-19800812,19800731,0.0,0
98,19800730-19800812,19800730,0.0,0
98,19800730-19800812,19800808,14.6666666667,0
98,19800730-19800812,19800811,269.0,1
98,19800730-19800812,19800802,2.66666666667,0
98,19800730-19800812,19800809,366.0,1
98,19800730-19800812,19800801,0.0,0
98,19800730-19800812,19800805,0.0,0
98,19800730-19800812,19800804,0.0,0
98,19800730-19800812,19800803,0.0,0
98,19800730-19800812,19800812,0.0,0
98,19800730-19800812,19800807,44.0,1
98,19800730-19800812,19800806,0.0,0
98,19800730-19800812,19800810,1466.0,1
196,20050822-20050901,20050822,0.0,0
196,20050822-20050901,20050824,3.0,0
196,20050822-20050901,20050901,0.0,0
196,20050822-20050901,20050825,5.0,0
196,20050822-20050901,20050823,8.0,0
82,19750823-19750902,19750828,4.0,0
82,19750823-19750902,19750826,1.5,0
82,19750823-19750902,19750831,259.0,1
82,19750823-19750902,19750829,0.0,0
82,19750823-19750902,19750827,53.5,1
82,19750823-19750902,19750824,16.5,0
82,19750823-19750902,19750901,308.5,1
82,19750823-19750902,19750902,2.5,0
82,19750823-19750902,19750825,9.0,0
82,19750823-19750902,19750830,0.0,0
82,19750823-19750902,19750823,72.5,1
231,20090815-20090819,20090819,0.0,0
231,20090815-20090819,20090816,330.0,1
231,20090815-20090819,20090815,82.5,0
231,20090815-20090819,20090818,12.5,0
231,20090815-20090819,20090817,472.0,1
237,20110826-20110828,20110828,971.6,1
237,20110826-20110828,20110827,648.8,1
203,20050710-20050722,20050720,475.0,1
203,20050710-20050722,20050717,2.5,0
203,20050710-20050722,20050713,0.0,0
203,20050710-20050722,20050715,0.0,0
203,20050710-20050722,20050718,0.0,0
203,20050710-20050722,20050716,75.0,1
203,20050710-20050722,20050721,0.0,0
203,20050710-20050722,20050719,311.0,1
203,20050710-20050722,20050710,118.0,1
203,20050710-20050722,20050722,0.0,0
203,20050710-20050722,20050712,0.0,0
203,20050710-20050722,20050714,0.0,0
203,20050710-20050722,20050711,25.5,0
147,19970715-19970727,19970716,114.0,1
147,19970715-19970727,19970717,110.125,1
147,19970715-19970727,19970724,483.375,1
147,19970715-19970727,19970727,0.375,0
147,19970715-19970727,19970726,0.0,0
147,19970715-19970727,19970715,0.0,0
147,19970715-19970727,19970723,251.375,1
147,19970715-19970727,19970725,116.625,1
147,19970715-19970727,19970719,35.375,0
147,19970715-19970727,19970722,215.625,1
147,19970715-19970727,19970720,3.5,0
147,19970715-19970727,19970718,0.0,0
147,19970715-19970727,19970721,39.625,0
1,19500831-19500910,19500901,222.666666667,1
1,19500831-19500910,19500907,32.0,0
1,19500831-19500910,19500910,0.0,0
1,19500831-19500910,19500908,2.5,0
1,19500831-19500910,19500831,68.6666666667,0
1,19500831-19500910,19500909,0.0,0
1,19500831-19500910,19500905,760.333333333,1
1,19500831-19500910,19500904,745.333333333,1
1,19500831-19500910,19500903,82.0,0
1,19500831-19500910,19500906,245.0,1
1,19500831-19500910,19500902,6.0,0
116,19880807-19880811,19880807,179.4,1
116,19880807-19880811,19880808,123.4,0
116,19880807-19880811,19880810,81.6,0
116,19880807-19880811,19880809,193.0,1
116,19880807-19880811,19880811,0.0,0
200,20051014-20051027,20051022,28.0,0
200,20051014-20051027,20051016,114.5,1
200,20051014-20051027,20051023,0.0,0
200,20051014-20051027,20051026,0.0,0
200,20051014-20051027,20051020,0.0,0
200,20051014-20051027,20051017,0.0,0
200,20051014-20051027,20051025,0.0,0
200,20051014-20051027,20051024,0.0,0
200,20051014-20051027,20051014,0.0,0
200,20051014-20051027,20051019,0.0,0
200,20051014-20051027,20051015,0.0,0
200,20051014-20051027,20051027,0.0,0
200,20051014-20051027,20051021,15.0,0
200,20051014-20051027,20051018,0.0,0
188,20040824-20040911,20040827,37.3333333333,0
188,20040824-20040911,20040902,14.3333333333,0
